Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-11-28T11:07:39.733Z","Included","composer-1","No","91759","0","580160","5619","677538","0.26"
"2025-11-28T11:06:39.836Z","Included","composer-1","No","46323","0","560000","5755","612078","0.21"
"2025-11-28T11:05:44.723Z","Included","composer-1","No","76108","0","369344","5915","451367","0.19"
"2025-11-28T11:03:29.858Z","Included","composer-1","No","94224","0","464800","6201","565225","0.24"
"2025-11-28T11:01:44.666Z","Included","composer-1","No","41319","0","391712","4759","437790","0.16"
"2025-11-28T11:00:04.673Z","Included","composer-1","No","154311","0","417792","6005","578108","0.28"
"2025-11-28T10:59:14.802Z","Included","composer-1","No","46798","0","277504","4126","328428","0.13"
"2025-11-25T22:56:03.426Z","Included","composer-1","No","81115","0","255328","5249","341692","0.17"
"2025-11-25T22:55:18.062Z","Included","composer-1","No","53554","0","230048","3316","286918","0.12"
"2025-11-25T22:54:23.718Z","Included","composer-1","No","49401","0","562944","5662","618007","0.21"
"2025-11-25T22:48:52.913Z","Included","composer-1","No","43286","0","490336","6690","540312","0.19"
"2025-11-25T22:46:32.717Z","Included","composer-1","No","38721","33556","301056","28089","401422","0.23"
"2025-11-25T22:45:29.235Z","Included","composer-1","No","55967","0","647424","5868","709259","0.24"
"2025-11-25T22:44:32.605Z","Included","composer-1","No","39183","0","399136","6180","444499","0.16"
"2025-11-25T22:43:32.785Z","Included","composer-1","No","68232","0","355584","6550","430366","0.18"
"2025-11-25T22:42:32.776Z","Included","composer-1","No","53965","0","568672","4579","627216","0.21"
"2025-11-25T22:18:07.444Z","Included","composer-1","No","35017","0","363360","4563","402940","0.14"
"2025-11-25T22:17:17.398Z","Included","composer-1","No","40983","0","350688","4480","396151","0.15"
"2025-11-25T22:16:32.761Z","Included","composer-1","No","60920","0","217248","4025","282193","0.13"
"2025-11-25T22:13:37.560Z","Included","composer-1","No","47132","0","240288","4112","291532","0.12"
"2025-11-25T22:09:47.558Z","Included","composer-1","No","63405","0","266112","4090","333607","0.15"
